434,3,344
71,21,10
61,93,70
96,70,77
48,77,98
21,47,2
19,38,88
63,23,70
32,13,80
51,74,60
100,81,90
13,42,61
77,62,83
9,57,38
38,51,73
28,65,55
35,26,62
74,43,14
44,43,46
55,87,48
85,22,81
52,12,90
6,70,49
20,100,44
20,54,49
64,82,82
65,30,21
51,77,83
33,89,82
39,40,26
40,91,45
31,22,53
77,82,32
42,8,49
44,3,63
85,22,30
57,48,74
12,11,10
25,31,31
22,70,9
81,88,42
59,39,32
18,9,65
5,26,50
13,18,12
90,1,78
46,26,40
59,34,15
80,18,82
30,22,91
42,14,21
39,6,69
38,43,66
26,37,1
11,66,75
11,26,19
69,8,33
25,75,96
90,96,80
61,33,83
65,77,38
73,23,20
90,65,82
87,26,54
78,48,57
67,96,29
44,4,58
56,40,45
91,29,26
75,79,8
7,36,52
24,79,23
22,15,53
59,32,16
29,82,85
72,7,6
34,96,21
99,41,44
81,6,76
48,43,52
21,95,16
38,96,44
95,72,46
31,62,56
35,52,2
100,52,10
11,39,61
91,49,41
67,21,21
88,18,54
33,17,50
34,37,9
90,55,11
40,79,31
71,31,19
100,16,40
1,29,100
69,82,71
48,15,24
71,26,4
